Time,pressure_30,pressure_70,pressure_60,pressure_40,pressure_80,pressure_140,pressure_120,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,52.85671615600586,52.478580474853516,51.71885681152344,52.022701263427734,51.71913146972656,42.54879379272461,30.546627044677734,42.54067611694336,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,51.907493591308594,51.81981658935547,52.29356384277344,51.73974609375,51.82817459106445,42.648258209228516,30.416969299316406,42.61488723754883,67.57726287841797,67.0709457397461,67.03242492675781,0.13052618503570557,0.9914448857307434
3600,51.5916748046875,51.52870178222656,51.52634048461914,51.33835983276367,51.447021484375,42.53841781616211,30.089139938354492,42.402767181396484,66.76750183105469,66.73228454589844,67.01028442382812,0.258819043636322,0.9659258127212524
5400,52.284854888916016,51.98059844970703,51.52959442138672,51.61711502075195,51.425743103027344,42.181297302246094,30.12710952758789,42.17576217651367,66.75855255126953,66.55146789550781,66.56192016601562,0.3826834261417389,0.9238795042037964
7200,52.45960235595703,52.171226501464844,51.90806579589844,51.83207702636719,51.6746940612793,42.316673278808594,30.31769371032715,42.316070556640625,67.14392852783203,66.75325775146484,66.67487335205078,0.5,0.8660253882408142
9000,52.28224182128906,52.122657775878906,52.1295051574707,51.898677825927734,51.83882141113281,42.6265983581543,30.362550735473633,42.62079620361328,67.37073516845703,66.85828399658203,67.01362609863281,0.6087614297866821,0.7933533191680908
10800,51.6008186340332,51.55155563354492,51.96900939941406,51.347373962402344,51.59096145629883,42.51688766479492,30.204084396362305,42.38799285888672,67.25320434570312,67.19259643554688,66.90705108642578,0.7071067690849304,0.7071067690849304
12600,47.010032653808594,46.84984588623047,46.80608367919922,46.62720489501953,46.602413177490234,37.427886962890625,25.24659538269043,37.41282653808594,66.52999877929688,66.52999877929688,66.52999877929688,0.7933533191680908,0.6087614297866821
14400,46.31818771362305,44.46773910522461,43.9621696472168,41.89577865600586,41.60939025878906,32.11274337768555,20.044452667236328,31.938758850097656,66.52999877929688,66.52999877929688,66.52999877929688,0.8660253882408142,0.5
16200,55.71360778808594,54.58082580566406,51.4608154296875,53.62487030029297,51.79436492919922,42.223182678222656,31.283363342285156,42.29439926147461,66.52999877929688,66.52999877929688,66.52999877929688,0.9238795042037964,0.3826834261417389
18000,52.9536018371582,52.5366325378418,52.94777297973633,51.91472244262695,51.99785614013672,42.761775970458984,30.56913948059082,42.67987060546875,68.22062683105469,67.27584838867188,67.14217376708984,0.9659258127212524,0.258819043636322
19800,52.2310791015625,52.02629089355469,52.266151428222656,51.89683532714844,51.893096923828125,42.80586242675781,30.280418395996094,42.76118850708008,67.52649688720703,66.81499481201172,67.25910949707031,0.9914448857307434,0.13052618503570557
21600,51.80805969238281,51.530616760253906,51.72413635253906,50.313087463378906,51.04817199707031,42.255088806152344,29.777639389038086,41.75181198120117,66.99054718017578,67.19918060302734,66.68174743652344,1.0,-1.6081226229577292e-16
23400,53.4853401184082,52.782875061035156,51.34724044799805,51.95106887817383,51.35021209716797,42.152496337890625,30.336965560913086,42.14110565185547,66.52999877929688,66.52999877929688,66.53006744384766,0.9914448857307434,-0.13052618503570557
25200,54.064369201660156,53.205020904541016,52.24311828613281,52.11029052734375,51.717918395996094,42.323673248291016,30.44879722595215,42.29496765136719,67.46685028076172,66.75300598144531,66.69000244140625,0.9659258127212524,-0.258819043636322
27000,53.474273681640625,52.923980712890625,52.702850341796875,52.29671859741211,52.04690170288086,42.5848274230957,30.512523651123047,42.576900482177734,67.9417724609375,66.82855224609375,66.96619415283203,0.9238795042037964,-0.3826834261417389
28800,53.00871276855469,52.61769104003906,52.795928955078125,51.78728485107422,51.91450881958008,42.685638427734375,30.539247512817383,42.57236862182617,68.0515365600586,67.27191162109375,67.06499481201172,0.8660253882408142,-0.5
30600,52.54146194458008,52.03663635253906,52.31719970703125,50.62725067138672,51.286685943603516,42.5993766784668,29.699766159057617,42.04960632324219,67.5871810913086,66.70207214355469,67.1991958618164,0.7933533191680908,-0.6087614297866821
32400,52.59822463989258,51.7341423034668,51.441490173339844,50.54253387451172,50.39918899536133,41.099308013916016,28.97259521484375,41.01915740966797,66.68131256103516,66.53008270263672,66.530029296875,0.7071067690849304,-0.7071067690849304
34200,54.74347686767578,53.64790344238281,51.55411148071289,52.33802795410156,51.5081787109375,42.1600227355957,30.53426742553711,42.141090393066406,66.72283172607422,66.53008270263672,66.530029296875,0.6087614297866821,-0.7933533191680908
36000,54.41730880737305,53.39733123779297,52.5462646484375,52.02228546142578,51.73476028442383,42.39734649658203,30.4265193939209,42.32815170288086,67.77747344970703,66.82899475097656,66.77361297607422,0.5,-0.8660253882408142
37800,53.52122116088867,52.90193557739258,52.87690734863281,52.06631088256836,51.9100341796875,42.56417465209961,30.317188262939453,42.529808044433594,68.11841583251953,66.75775146484375,66.95049285888672,0.3826834261417389,-0.9238795042037964
39600,52.995208740234375,52.4915771484375,52.724788665771484,51.358787536621094,51.6292839050293,42.47368621826172,30.196762084960938,42.24458694458008,67.98675537109375,67.08573913574219,66.85835266113281,0.258819043636322,-0.9659258127212524
41400,52.475337982177734,51.68778991699219,52.21092987060547,50.20939636230469,50.615352630615234,41.946346282958984,28.766691207885742,41.449668884277344,67.49378204345703,66.53002166748047,66.6197509765625,0.13052618503570557,-0.9914448857307434
43200,53.963043212890625,53.13246154785156,51.96074676513672,52.146751403808594,51.627174377441406,42.165199279785156,30.36858558654785,42.152854919433594,67.17335510253906,66.53002166748047,66.52999877929688,-3.2162452459154583e-16,-1.0
45000,53.94165802001953,53.19605255126953,52.57082748413086,52.29889678955078,51.9419059753418,42.45361328125,30.5444278717041,42.43722152709961,67.80261993408203,66.82803344726562,66.8196792602539,-0.13052618503570557,-0.9914448857307434
46800,53.18539047241211,52.866615295410156,52.88829040527344,52.385719299316406,52.248687744140625,42.72795486450195,30.670591354370117,42.727684020996094,68.13082885742188,67.06803894042969,67.09809875488281,-0.258819043636322,-0.9659258127212524
48600,52.347496032714844,52.23192596435547,52.672515869140625,52.05794906616211,52.150390625,42.957515716552734,30.750337600708008,42.91701126098633,67.95661163330078,67.42029571533203,67.34027099609375,-0.3826834261417389,-0.9238795042037964
50400,51.59326171875,51.502655029296875,51.858673095703125,51.11039733886719,51.51892852783203,42.84855270385742,30.051708221435547,42.52248001098633,67.14287567138672,67.00748443603516,67.40643310546875,-0.5,-0.8660253882408142
