Time,pressure_20,pressure_30,pressure_110,pressure_70,pressure_60,pressure_90,pressure_100,pressure_40,pressure_50,pressure_80,pressure_150,pressure_140,pressure_170,pressure_130,pressure_160,pressure_120,pressure_55,pressure_75,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265
0,64.21610260009766,52.85340118408203,52.40034484863281,52.47523498535156,51.71844482421875,51.73700714111328,51.88202667236328,52.01757049560547,52.01786804199219,51.71846008300781,30.419601440429688,42.54865646362305,30.308195114135742,30.354736328125,30.358814239501953,30.543643951416016,42.64844512939453,42.55073928833008,42.54011154174805,66.93000030517578,66.93000030517578,66.93000030517578
1800,61.67427444458008,52.33543014526367,51.99256134033203,52.195438385009766,52.324527740478516,51.96303176879883,51.97062683105469,52.01653289794922,52.0162467956543,51.98134994506836,30.588836669921875,42.661319732666016,30.463836669921875,30.487417221069336,30.492578506469727,30.529930114746094,42.74349594116211,42.67023849487305,42.661190032958984,67.5722427368164,67.06684112548828,67.029541015625
3600,61.77730941772461,52.159217834472656,51.94879150390625,52.04743576049805,52.01462936401367,51.838523864746094,51.9223747253418,51.859031677246094,51.90838623046875,51.9084587097168,30.586973190307617,42.86148452758789,30.506656646728516,30.52594757080078,30.569448471069336,30.540861129760742,42.758785247802734,42.78084945678711,42.786163330078125,67.25469207763672,67.1457290649414,67.28932189941406
5400,61.028812408447266,51.884796142578125,51.78924560546875,51.828128814697266,51.976192474365234,51.74641418457031,51.775390625,51.7031364440918,51.70878601074219,51.75709915161133,30.413734436035156,42.48586654663086,30.324947357177734,30.434988021850586,30.486042022705078,30.443105697631836,42.50458526611328,42.48480987548828,42.48149108886719,67.23149871826172,67.11593627929688,66.83827209472656
7200,61.75531005859375,51.89309310913086,51.622291564941406,51.75136184692383,51.538970947265625,51.51362991333008,51.58612823486328,51.67292404174805,51.70872497558594,51.54204559326172,30.254924774169922,42.710758209228516,30.093402862548828,30.074974060058594,30.075855255126953,30.106361389160156,42.56804656982422,42.621219635009766,42.633338928222656,66.77184295654297,66.61168670654297,67.2162094116211
9000,62.43673324584961,52.24263000488281,51.93866729736328,52.02736282348633,51.81925964355469,51.62583541870117,51.706199645996094,51.66670608520508,51.66835403442383,51.625850677490234,30.288314819335938,42.26255416870117,30.10309410095215,30.28226089477539,30.33108139038086,30.367618560791016,42.3433723449707,42.26443862915039,42.25586700439453,67.05686950683594,66.93046569824219,66.59599304199219
10800,62.42253112792969,52.294857025146484,51.70234298706055,52.023006439208984,51.985198974609375,51.57490158081055,51.671478271484375,51.69380187988281,51.73918151855469,51.6755485534668,30.33544158935547,42.62031173706055,30.036800384521484,30.03883934020996,30.063615798950195,30.08757209777832,42.54718780517578,42.54878234863281,42.54920196533203,67.22541046142578,66.60924530029297,67.08318328857422
12600,62.65746307373047,52.359291076660156,51.930381774902344,52.08796691894531,51.938087463378906,51.60841751098633,51.693058013916016,51.662353515625,51.665557861328125,51.614830017089844,30.269758224487305,42.23714828491211,30.055557250976562,30.228422164916992,30.28219985961914,30.32094383239746,42.31679153442383,42.23430252075195,42.22713851928711,67.17742156982422,66.87690734863281,66.57460021972656
14400,62.79768753051758,52.49626541137695,51.934268951416016,52.20897674560547,52.024600982666016,51.76111602783203,51.804630279541016,51.92955780029297,51.93326187133789,51.788414001464844,30.43821907043457,42.629825592041016,30.099369049072266,30.08980941772461,30.08602523803711,30.215042114257812,42.665306091308594,42.62654495239258,42.619754791259766,67.26252746582031,66.59207916259766,67.04052734375
16200,62.88888931274414,52.62834548950195,52.27466583251953,52.381736755371094,52.180809020996094,51.928131103515625,52.001251220703125,51.986114501953125,51.985328674316406,51.9217414855957,30.560115814208984,42.399436950683594,30.30855369567871,30.53603744506836,30.578174591064453,30.653125762939453,42.574127197265625,42.4191780090332,42.39938735961914,67.41863250732422,67.17256927490234,66.69538879394531
18000,61.90699768066406,52.4093017578125,52.009944915771484,52.271453857421875,52.335105895996094,52.013710021972656,52.033843994140625,52.09831237792969,52.106971740722656,52.065425872802734,30.697813034057617,42.92369079589844,30.398788452148438,30.37920379638672,30.37644386291504,30.44447135925293,42.91614532470703,42.91044998168945,42.90911102294922,67.57884979248047,66.890380859375,67.3526840209961
19800,61.73481369018555,52.18668746948242,52.03763961791992,52.08983612060547,52.119380950927734,51.81417465209961,51.927242279052734,51.72358322143555,51.756141662597656,51.843666076660156,30.520709991455078,42.551876068115234,30.374849319458008,30.60811424255371,30.728893280029297,30.641525268554688,42.5278205871582,42.52040481567383,42.51859664916992,67.364013671875,67.43458557128906,66.895263671875
21600,60.76371383666992,51.61888885498047,51.28495788574219,51.45891571044922,51.841094970703125,51.21804428100586,51.37920379638672,51.22079849243164,51.37545394897461,51.44466018676758,30.10948371887207,42.74821472167969,29.92241668701172,29.924610137939453,30.04650115966797,29.916757583618164,42.2543830871582,42.45265197753906,42.49736022949219,67.12284851074219,66.62442016601562,67.32807159423828
23400,48.03895950317383,33.745277404785156,31.352766036987305,32.401222229003906,32.03401184082031,30.13140869140625,30.544408798217773,30.533111572265625,30.61300277709961,30.325096130371094,8.958372116088867,20.924957275390625,8.295455932617188,8.534515380859375,8.717884063720703,8.822811126708984,20.912628173828125,20.819421768188477,20.798583984375,66.53009796142578,66.53002166748047,66.52999877929688
25200,72.26306915283203,55.294189453125,53.63736343383789,53.95710372924805,51.37788391113281,51.37500762939453,51.89585494995117,52.27472686767578,52.283287048339844,51.352203369140625,30.144590377807617,42.150211334228516,29.743722915649414,29.928770065307617,29.963577270507812,30.52463722229004,42.414642333984375,42.14826202392578,42.10942077636719,66.53009796142578,66.53002166748047,66.52999877929688
27000,62.126861572265625,52.48445129394531,51.741390228271484,52.17236328125,52.45220184326172,51.63739013671875,51.68682098388672,51.72924041748047,51.73417663574219,51.6928825378418,30.274248123168945,42.29240036010742,30.0539493560791,30.115522384643555,30.151933670043945,30.175498962402344,42.37481689453125,42.29236602783203,42.28123092651367,67.71025848388672,66.728271484375,66.65738677978516
28800,64.70458984375,53.15065383911133,52.44430923461914,52.6724739074707,51.98515319824219,51.83010482788086,51.94416809082031,52.162437438964844,52.16232681274414,51.82524490356445,30.479839324951172,42.55973815917969,30.17826271057129,30.182851791381836,30.17987823486328,30.44117546081543,42.717098236083984,42.569610595703125,42.55400848388672,67.20771026611328,66.69530487060547,66.94486236572266
30600,61.92504119873047,52.3887939453125,51.64139938354492,51.974491119384766,52.414695739746094,51.30956268310547,51.63806915283203,51.217750549316406,51.41362380981445,51.59931945800781,30.293338775634766,42.49247360229492,29.971820831298828,30.165742874145508,30.45948028564453,30.180286407470703,42.20260238647461,42.236053466796875,42.24444580078125,67.70092010498047,67.23240661621094,66.88257598876953
32400,61.85368347167969,51.84395217895508,51.42387008666992,51.612640380859375,51.564697265625,51.21957015991211,51.290496826171875,51.28751754760742,51.301605224609375,51.25438690185547,29.9117374420166,42.06371307373047,29.795040130615234,29.836397171020508,29.8687801361084,29.885116577148438,42.06121826171875,42.045204162597656,42.04161834716797,66.80474853515625,66.53002166748047,66.5301284790039
34200,65.7646255493164,53.038875579833984,51.90400695800781,52.29706573486328,51.55305480957031,51.01652145385742,51.260353088378906,51.28909683227539,51.32454299926758,51.08451461791992,29.75831413269043,41.86226272583008,29.459264755249023,29.59012222290039,29.669666290283203,29.791297912597656,41.87190628051758,41.813941955566406,41.80130386352539,66.78284454345703,66.53002166748047,66.5301284790039
36000,61.38208770751953,50.766441345214844,42.85810470581055,46.81108093261719,51.50961685180664,42.1888313293457,42.80367660522461,43.24004364013672,43.418155670166016,43.16909408569336,21.108400344848633,32.62003707885742,19.254776000976562,19.72828483581543,20.233592987060547,20.130292892456055,32.75896453857422,32.436553955078125,32.3685417175293,67.15225982666016,66.53002166748047,66.5301284790039
