Time,pressure_20,pressure_30,pressure_70,pressure_100,pressure_50,pressure_120,pressure_55,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,63.92927932739258,52.639808654785156,52.26474380493164,51.747528076171875,51.716514587402344,30.369321823120117,42.4674186706543,42.46503448486328,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,61.97941207885742,52.205421447753906,51.995140075683594,51.62736892700195,51.62550354003906,30.193628311157227,42.377742767333984,42.35872268676758,67.32403564453125,66.76956176757812,66.76919555664062,0.13052618503570557,0.9914448857307434
3600,64.9222412109375,53.16077423095703,52.6796875,51.914878845214844,52.14524459838867,30.493154525756836,42.645015716552734,42.4178466796875,67.03670501708984,66.73113250732422,66.79672241210938,0.258819043636322,0.9659258127212524
5400,61.8863639831543,52.403045654296875,52.164249420166016,51.86119842529297,51.80496597290039,30.46734619140625,42.549747467041016,42.535160064697266,67.65804290771484,67.14537811279297,66.94418334960938,0.3826834261417389,0.9238795042037964
7200,60.55638122558594,51.497798919677734,51.421142578125,51.41920471191406,51.43610382080078,30.00579261779785,42.32908248901367,42.5178108215332,67.14142608642578,66.67634582519531,67.1843032836914,0.5,0.8660253882408142
9000,66.79362487792969,53.70529556274414,53.02964401245117,51.91868591308594,52.28915786743164,30.5848445892334,42.6243782043457,42.26260757446289,66.75565338134766,66.67405700683594,66.61673736572266,0.6087614297866821,0.7933533191680908
10800,62.27393341064453,52.582576751708984,52.35013198852539,51.93567657470703,51.983551025390625,30.437297821044922,42.666629791259766,42.58956527709961,67.74092864990234,66.96549224853516,66.9783935546875,0.7071067690849304,0.7071067690849304
12600,61.35591506958008,52.127197265625,51.98377990722656,51.859710693359375,51.84127426147461,30.478984832763672,42.66548538208008,42.66641616821289,67.40180969238281,67.12174987792969,67.09608459472656,0.7933533191680908,0.6087614297866821
14400,63.90968322753906,52.876670837402344,52.56690979003906,52.0246696472168,52.309696197509766,30.666046142578125,42.898658752441406,42.6551628112793,66.93628692626953,66.81652069091797,67.0240478515625,0.8660253882408142,0.5
16200,62.8557243347168,52.87012481689453,52.663246154785156,52.33351135253906,52.37629699707031,30.96717071533203,42.97209548950195,42.75539016723633,67.7662353515625,67.43830108642578,67.04444885253906,0.9238795042037964,0.3826834261417389
18000,61.948551177978516,52.663482666015625,52.56220626831055,52.40964126586914,52.4753303527832,30.876087188720703,43.293121337890625,43.2813606262207,67.89868927001953,67.33551788330078,67.69864654541016,0.9659258127212524,0.258819043636322
19800,62.32185745239258,52.53245544433594,52.39482116699219,52.20753479003906,52.0172233581543,30.93862533569336,42.831642150878906,42.84671401977539,67.64132690429688,67.85150146484375,67.34009552001953,0.9914448857307434,0.13052618503570557
21600,63.6646842956543,52.81023406982422,52.412353515625,51.93376159667969,52.015411376953125,30.338407516479492,42.83189010620117,42.85801696777344,67.4244384765625,66.88597869873047,67.52650451660156,1.0,-1.6081226229577292e-16
23400,67.11820983886719,54.147762298583984,53.43144226074219,52.30933380126953,52.4687614440918,30.949430465698242,42.74715042114258,42.406986236572266,67.53817749023438,67.20230865478516,66.69558715820312,0.9914448857307434,-0.13052618503570557
