Time,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,42.552154541015625,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,42.65989685058594,67.6623764038086,67.1484375,67.09563446044922,0.13052618503570557,0.9914448857307434
3600,42.443695068359375,66.80908203125,66.73519134521484,67.01911163330078,0.258819043636322,0.9659258127212524
5400,42.264869689941406,66.75420379638672,66.6384506225586,66.60958862304688,0.3826834261417389,0.9238795042037964
7200,42.57958984375,67.41795349121094,66.93879699707031,66.94567108154297,0.5,0.8660253882408142
9000,42.85708999633789,67.70967864990234,67.25794219970703,67.21014404296875,0.6087614297866821,0.7933533191680908
10800,42.89093017578125,67.78092193603516,67.44891357421875,67.55412292480469,0.7071067690849304,0.7071067690849304
12600,42.28938674926758,66.84286499023438,66.8800277709961,66.91988372802734,0.7933533191680908,0.6087614297866821
14400,42.138729095458984,66.6003189086914,66.52999877929688,66.52999877929688,0.8660253882408142,0.5
16200,42.204280853271484,66.95145416259766,66.59793853759766,66.58576965332031,0.9238795042037964,0.3826834261417389
18000,42.42451477050781,67.21302032470703,66.73165130615234,66.77981567382812,0.9659258127212524,0.258819043636322
19800,42.647518157958984,67.5682144165039,67.19425201416016,67.03950500488281,0.9914448857307434,0.13052618503570557
21600,42.714263916015625,67.4151840209961,66.89693450927734,67.29692840576172,1.0,-1.6081226229577292e-16
23400,42.13664245605469,66.97254943847656,67.07077026367188,66.62517547607422,0.9914448857307434,-0.13052618503570557
25200,42.22936248779297,67.2128677368164,66.67533874511719,66.6802978515625,0.9659258127212524,-0.258819043636322
27000,42.33343505859375,67.69719696044922,66.71464538574219,66.66790008544922,0.9238795042037964,-0.3826834261417389
28800,42.50759506225586,68.30926513671875,67.11083221435547,67.14948272705078,0.8660253882408142,-0.5
30600,42.238582611083984,67.50447082519531,66.70652770996094,66.7217025756836,0.7933533191680908,-0.6087614297866821
32400,42.052520751953125,67.0594253540039,66.5413589477539,66.56143188476562,0.7071067690849304,-0.7071067690849304
34200,42.145233154296875,67.40137481689453,66.5300064086914,66.52999877929688,0.6087614297866821,-0.7933533191680908
36000,42.276493072509766,67.93346405029297,66.81867980957031,66.80805206298828,0.5,-0.8660253882408142
37800,42.35736083984375,68.00479888916016,66.61405944824219,66.73970794677734,0.3826834261417389,-0.9238795042037964
39600,42.499874114990234,67.70964050292969,67.05662536621094,66.88480377197266,0.258819043636322,-0.9659258127212524
41400,42.809146881103516,67.8685302734375,66.90777587890625,67.21968078613281,0.13052618503570557,-0.9914448857307434
43200,42.52796173095703,68.02470397949219,67.3858413696289,67.04891204833984,-3.2162452459154583e-16,-1.0
45000,42.715633392333984,67.44696044921875,66.57637023925781,67.19828033447266,-0.13052618503570557,-0.9914448857307434
46800,42.393218994140625,67.45996856689453,67.1732177734375,66.63398742675781,-0.258819043636322,-0.9659258127212524
48600,42.78500747680664,68.24760437011719,67.25646209716797,67.452392578125,-0.3826834261417389,-0.9238795042037964
50400,42.59397888183594,68.24266052246094,67.14968872070312,66.92159271240234,-0.5,-0.8660253882408142
52200,43.011024475097656,67.96380615234375,67.14826965332031,67.45269775390625,-0.6087614297866821,-0.7933533191680908
54000,42.74073028564453,67.85020446777344,67.50460052490234,67.13612365722656,-0.7071067690849304,-0.7071067690849304
55800,43.092891693115234,67.61676788330078,66.91139221191406,67.5051498413086,-0.7933533191680908,-0.6087614297866821
57600,42.86343765258789,67.7880859375,67.6879653930664,67.15018463134766,-0.8660253882408142,-0.5
59400,43.386531829833984,68.00453186035156,67.35552215576172,67.84175109863281,-0.9238795042037964,-0.3826834261417389
61200,42.814727783203125,68.11172485351562,67.89324188232422,67.36421203613281,-0.9659258127212524,-0.258819043636322
63000,43.03156280517578,67.47002410888672,66.83438873291016,67.51167297363281,-0.9914448857307434,-0.13052618503570557
64800,42.65336227416992,67.6026840209961,67.51138305664062,66.8983154296875,-1.0,-1.8369701465288538e-16
66600,43.10023880004883,67.815673828125,67.23351287841797,67.68885803222656,-0.9914448857307434,0.13052618503570557
68400,42.378700256347656,67.03853607177734,67.40623474121094,66.97065734863281,-0.9659258127212524,0.258819043636322
70200,42.2415657043457,66.61043548583984,66.58782196044922,66.62992095947266,-0.9238795042037964,0.3826834261417389
72000,42.28218460083008,67.10956573486328,66.80912017822266,66.58936309814453,-0.8660253882408142,0.5
73800,42.48054504394531,67.9075698852539,67.04055786132812,67.17621612548828,-0.7933533191680908,0.6087614297866821
75600,42.046321868896484,67.61103057861328,66.75704956054688,66.62220001220703,-0.7071067690849304,0.7071067690849304
77400,42.10685348510742,66.53014373779297,66.52999877929688,66.52999877929688,-0.6087614297866821,0.7933533191680908
79200,41.56440353393555,66.68455505371094,66.52999877929688,66.52999877929688,-0.5,0.8660253882408142
81000,42.134857177734375,66.58738708496094,66.52999877929688,66.52999877929688,-0.3826834261417389,0.9238795042037964
82800,41.89188003540039,67.0054931640625,66.59194946289062,66.57450866699219,-0.258819043636322,0.9659258127212524
84600,40.544944763183594,66.52999877929688,66.53012084960938,66.530029296875,-0.13052618503570557,0.9914448857307434
86400,42.5531005859375,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
