Time,pressure_20,pressure_30,pressure_110,pressure_70,pressure_60,pressure_90,pressure_100,pressure_40,pressure_50,pressure_80,pressure_150,pressure_140,pressure_170,pressure_130,pressure_160,pressure_120,pressure_55,pressure_75,pressure_115,flow_b2,flow_b1,flow_b3,flow_78,flow_80,flow_178,pump_efficiency_b2,pump_efficiency_b1,pump_efficiency_b3,pump_energyconsumption_b2,pump_energyconsumption_b1,pump_energyconsumption_b3,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,64.1510009765625,52.801979064941406,52.325904846191406,52.424842834472656,51.71296310424805,51.70103073120117,51.84899139404297,51.937416076660156,51.941802978515625,51.69928741455078,30.400718688964844,42.54655456542969,30.286083221435547,30.341615676879883,30.35567855834961,30.49898910522461,42.605899810791016,42.54317092895508,42.53254699707031,0.0,0.7533836364746094,0.7533886432647705,-0.326342910528183,-0.06364301592111588,0.03462759032845497,0.0,0.6460707187652588,0.6460695862770081,0.0,0.6174033880233765,0.6174085736274719,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,61.518733978271484,52.227989196777344,51.792781829833984,52.00862121582031,52.24184799194336,51.72200012207031,51.782432556152344,51.76248550415039,51.78443145751953,51.783897399902344,30.42786407470703,42.58998489379883,30.324729919433594,30.36966896057129,30.419790267944336,30.388959884643555,42.56862258911133,42.56251907348633,42.56102752685547,0.533844530582428,0.0,0.0,0.30493244528770447,0.18163050711154938,0.04999344423413277,0.5657665133476257,0.0,0.0,0.4800167977809906,0.0,0.0,67.5020980834961,67.00749969482422,66.9728775024414,0.13052618503570557,0.9914448857307434
3600,60.28485107421875,51.222015380859375,51.102962493896484,51.16941833496094,51.67382049560547,51.037445068359375,51.17875671386719,50.92007064819336,51.079994201660156,51.28911209106445,29.961435317993164,42.517696380615234,29.887025833129883,29.904193878173828,30.13695526123047,29.792322158813477,41.977420806884766,42.210323333740234,42.26226043701172,0.0,0.0,0.0,0.5163645148277283,0.48907604813575745,-0.6634878516197205,0.0,0.0,0.0,0.0,0.0,0.0,66.96753692626953,66.78630828857422,67.03478240966797,0.258819043636322,0.9659258127212524
5400,67.03153991699219,53.7908935546875,52.77682113647461,53.02745819091797,51.83042907714844,51.61699295043945,51.85829544067383,52.06576919555664,52.06664276123047,51.608680725097656,30.272829055786133,42.19697570800781,29.95613670349121,30.09897804260254,30.1202335357666,30.44940948486328,42.4256706237793,42.203975677490234,42.180294036865234,0.0,1.0412323474884033,1.06814706325531,-0.3790026009082794,-0.05419624596834183,0.31486260890960693,0.0,0.5894818305969238,0.5841429233551025,0.0,0.975300669670105,1.009655475616455,67.0401382446289,66.69498443603516,66.54751586914062,0.3826834261417389,0.9238795042037964
7200,62.05390930175781,52.44729232788086,51.67420196533203,52.10430145263672,52.43924331665039,51.55972671508789,51.673240661621094,51.64208221435547,51.69361114501953,51.690528869628906,30.329265594482422,42.52650833129883,30.077787399291992,30.118610382080078,30.186859130859375,30.16278648376465,42.45573425292969,42.45466613769531,42.454383850097656,0.8477059006690979,0.0,0.0,0.3439348638057709,-0.06747907400131226,-0.2796876132488251,0.6214296817779541,0.0,0.0,0.6997081637382507,0.0,0.0,67.70454406738281,66.760986328125,66.9373779296875,0.5,0.8660253882408142
9000,61.525848388671875,51.97163009643555,51.727989196777344,51.856685638427734,51.860511779785156,51.61096954345703,51.64228820800781,51.61640930175781,51.61643600463867,51.612648010253906,30.25188636779785,42.25245666503906,30.100759506225586,30.22359848022461,30.255250930786133,30.271066665649414,42.33317184448242,42.25958251953125,42.251983642578125,0.0,0.648326575756073,0.0,0.06317076832056046,0.18329186737537384,0.37119659781455994,0.0,0.6112919449806213,0.0,0.0,0.5395998358726501,0.0,67.10161590576172,66.8431625366211,66.591064453125,0.6087614297866821,0.7933533191680908
10800,60.527889251708984,51.452266693115234,51.328453063964844,51.38774871826172,51.72012710571289,51.345497131347656,51.383296966552734,51.35749053955078,51.41845703125,51.46527099609375,30.113168716430664,42.5592155456543,30.01668930053711,30.0087890625,30.045246124267578,29.991310119628906,42.30742645263672,42.42658996582031,42.452728271484375,0.0,0.0,0.0,0.3820541501045227,-0.05535449832677841,-0.5911720395088196,0.0,0.0,0.0,0.0,0.0,0.0,66.9908676147461,66.61994934082031,67.05068969726562,0.7071067690849304,0.7071067690849304
12600,67.47476959228516,53.990970611572266,53.104042053222656,53.23746871948242,51.71339416503906,51.7786750793457,52.019981384277344,52.380638122558594,52.375648498535156,51.70327377319336,30.390029907226562,42.32616424560547,30.098827362060547,30.190340042114258,30.190338134765625,30.659164428710938,42.676143646240234,42.363258361816406,42.32524108886719,0.0,1.0582712888717651,1.081520438194275,-0.535477340221405,-0.2129264771938324,0.30117958784103394,0.0,0.5868855714797974,0.5823119878768921,0.0,1.0019428730010986,1.0319968461990356,66.89594268798828,66.75061798095703,66.67933654785156,0.7933533191680908,0.6087614297866821
14400,60.93092727661133,51.924442291259766,51.68496322631836,51.787166595458984,52.526329040527344,51.692604064941406,51.747840881347656,51.669132232666016,51.72210693359375,51.81509780883789,30.42730712890625,42.64993667602539,30.318161010742188,30.341564178466797,30.420194625854492,30.339130401611328,42.567222595214844,42.580665588378906,42.58396530151367,0.0,0.0,0.0,0.5880459547042847,0.19784891605377197,-0.2275083214044571,0.0,0.0,0.0,0.0,0.0,0.0,67.83466339111328,67.00991821289062,67.0522689819336,0.8660253882408142,0.5
16200,61.30989074707031,51.69623565673828,51.515785217285156,51.59637451171875,51.56359100341797,51.38173294067383,51.48787307739258,51.363983154296875,51.422821044921875,51.452178955078125,30.150182723999023,42.36873245239258,30.05770492553711,30.103206634521484,30.17072105407715,30.11663055419922,42.26702117919922,42.28443908691406,42.28870391845703,0.0,0.7190508246421814,0.0,0.02452021837234497,0.2568383812904358,-0.2241109013557434,0.0,0.6392353773117065,0.0,0.0,0.5703883171081543,0.0,66.80378723144531,66.76897430419922,66.77056121826172,0.9238795042037964,0.3826834261417389
