Time,pressure_20,pressure_30,pressure_110,pressure_70,pressure_60,pressure_90,pressure_100,pressure_40,pressure_50,pressure_80,pressure_150,pressure_140,pressure_170,pressure_130,pressure_160,pressure_120,pressure_55,pressure_75,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,64.04045867919922,52.71977233886719,52.21089553833008,52.34553527832031,51.70671844482422,51.64381408691406,51.799163818359375,51.80329132080078,51.822540283203125,51.66240310668945,30.373210906982422,42.544944763183594,30.243812561035156,30.314430236816406,30.353641510009766,30.43233871459961,42.535400390625,42.51393508911133,42.50897979736328,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,62.84454345703125,52.547157287597656,51.97921371459961,52.23448944091797,52.17193603515625,51.70429992675781,51.789512634277344,51.80182647705078,51.81379318237305,51.73915100097656,30.38568878173828,42.490692138671875,30.224334716796875,30.283029556274414,30.319717407226562,30.356386184692383,42.51622772216797,42.47828674316406,42.4706916809082,67.41199493408203,66.89636993408203,66.86961364746094,0.13052618503570557,0.9914448857307434
3600,63.000247955322266,52.494171142578125,51.737972259521484,52.14242172241211,52.144737243652344,51.410072326660156,51.648921966552734,51.462013244628906,51.59320068359375,51.62030029296875,30.304697036743164,42.566131591796875,30.016748428344727,30.117448806762695,30.266098022460938,30.17411994934082,42.37552261352539,42.388912200927734,42.392337799072266,67.38887023925781,66.84986114501953,67.01043701171875,0.258819043636322,0.9659258127212524
5400,64.17546081542969,52.877506256103516,52.158145904541016,52.40366744995117,51.94948196411133,51.585182189941406,51.69865417480469,51.82178497314453,51.8219108581543,51.58519744873047,30.217988967895508,42.180728912353516,29.96316146850586,30.050048828125,30.063621520996094,30.251148223876953,42.34738540649414,42.1896858215332,42.17310333251953,67.18254089355469,66.63776397705078,66.53578186035156,0.3826834261417389,0.9238795042037964
7200,64.65968322753906,53.24916076660156,52.433067321777344,52.73923873901367,52.250694274902344,51.882423400878906,51.980072021484375,52.18036651611328,52.18027877807617,51.882694244384766,30.504987716674805,42.51273727416992,30.17802619934082,30.194780349731445,30.19475555419922,30.440336227416992,42.69533157348633,42.525325775146484,42.50719451904297,67.48249053955078,66.72035217285156,66.89633178710938,0.5,0.8660253882408142
9000,61.9012336730957,52.560768127441406,52.141849517822266,52.37739944458008,52.558963775634766,52.09086990356445,52.099517822265625,52.13716506958008,52.13451385498047,52.10334777832031,30.6854248046875,42.61574935913086,30.481399536132812,30.604820251464844,30.628538131713867,30.66350555419922,42.77849197387695,42.639251708984375,42.61798858642578,67.81063842773438,67.20716094970703,66.93785095214844,0.6087614297866821,0.7933533191680908
10800,60.8438835144043,51.772003173828125,51.65113067626953,51.718441009521484,52.13135528564453,51.62789535522461,51.72063446044922,51.568939208984375,51.681640625,51.81330108642578,30.47736358642578,42.97300720214844,30.378965377807617,30.380739212036133,30.509536743164062,30.320819854736328,42.573394775390625,42.75001525878906,42.789241790771484,67.41365051269531,67.10861206054688,67.48124694824219,0.7071067690849304,0.7071067690849304
12600,63.05573654174805,52.317222595214844,52.107398986816406,52.08015441894531,51.41230773925781,51.56544876098633,51.669681549072266,51.790611267089844,51.78670883178711,51.49134063720703,30.21817970275879,42.32398986816406,30.13984489440918,30.21302604675293,30.213909149169922,30.387319564819336,42.45397186279297,42.339874267578125,42.32416534423828,66.6180191040039,66.78963470458984,66.68963623046875,0.7933533191680908,0.6087614297866821
14400,65.52000427246094,53.66338348388672,53.06186294555664,53.166648864746094,52.13072967529297,52.23276138305664,52.320152282714844,52.762413024902344,52.72523880004883,52.1092529296875,30.752967834472656,42.60580825805664,30.391429901123047,30.398303985595703,30.3448429107666,30.864959716796875,43.093963623046875,42.705562591552734,42.63773727416992,67.32840728759766,66.81848907470703,66.97151184082031,0.8660253882408142,0.5
16200,61.12005615234375,52.111473083496094,51.9058837890625,51.98115539550781,52.803409576416016,51.8477668762207,51.96620178222656,51.7362060546875,51.83409881591797,52.01260757446289,30.6551456451416,42.867332458496094,30.533662796020508,30.609533309936523,30.814701080322266,30.57210350036621,42.684871673583984,42.728919982910156,42.73943328857422,68.12433624267578,67.5314712524414,67.25294494628906,0.9238795042037964,0.3826834261417389
18000,60.896942138671875,51.71715545654297,51.47303771972656,51.60826110839844,51.74237823486328,51.48045349121094,51.53428649902344,51.540008544921875,51.595401763916016,51.5777473449707,30.238229751586914,42.68000793457031,30.105363845825195,30.099111557006836,30.12074089050293,30.09934425354004,42.46564483642578,42.556060791015625,42.576297760009766,66.9948959350586,66.68463134765625,67.17707061767578,0.9659258127212524,0.258819043636322
19800,67.74817657470703,54.1898307800293,53.50961685180664,53.474037170410156,51.65058517456055,52.01654052734375,52.225460052490234,52.75764465332031,52.71941375732422,51.76361083984375,30.497772216796875,42.309288024902344,30.166357040405273,30.3341121673584,30.32642936706543,30.967500686645508,42.907264709472656,42.41612243652344,42.33412551879883,66.7982406616211,66.88384246826172,66.6110610961914,0.9914448857307434,0.13052618503570557
21600,66.29219055175781,54.23222351074219,53.35360336303711,53.625118255615234,52.79248046875,52.559688568115234,52.66009521484375,53.01880645751953,53.00210952758789,52.51301193237305,31.096851348876953,42.88459014892578,30.64914894104004,30.677467346191406,30.663066864013672,31.107778549194336,43.31723403930664,42.950965881347656,42.89342498779297,68.01111602783203,67.1677017211914,67.24453735351562,1.0,-1.6081226229577292e-16
23400,63.956787109375,53.64923095703125,52.919673919677734,53.31296920776367,53.31877899169922,52.641578674316406,52.72138214111328,52.74095153808594,52.74470138549805,52.667396545410156,31.27175521850586,43.22351837158203,31.018497467041016,31.132658004760742,31.17595100402832,31.236574172973633,43.33342742919922,43.224185943603516,43.211326599121094,68.56135559082031,67.75453186035156,67.5707015991211,0.9914448857307434,-0.13052618503570557
25200,63.25390625,53.26898956298828,52.546363830566406,52.97698974609375,53.13268280029297,52.35934066772461,52.544898986816406,52.42675018310547,52.53671646118164,52.54560470581055,31.20899772644043,43.51344299316406,30.92432975769043,30.974924087524414,31.08124351501465,31.017362594604492,43.34192657470703,43.35829162597656,43.362422943115234,68.38556671142578,67.6568832397461,67.98118591308594,0.9659258127212524,-0.258819043636322
27000,63.425071716308594,53.10574722290039,52.636016845703125,52.81947326660156,52.72673034667969,52.30268478393555,52.41987609863281,52.321014404296875,52.339256286621094,52.33277893066406,30.996776580810547,42.99480438232422,30.801795959472656,30.985437393188477,31.06846046447754,31.06888771057129,43.02143478393555,42.979583740234375,42.97111892700195,67.96673583984375,67.69071960449219,67.34143829345703,0.9238795042037964,-0.3826834261417389
28800,64.04440307617188,53.264190673828125,52.41533660888672,52.84233856201172,52.72166442871094,52.14897918701172,52.31056213378906,52.30747985839844,52.38144302368164,52.30662155151367,30.971012115478516,43.27360153198242,30.597749710083008,30.616392135620117,30.673994064331055,30.688261032104492,43.157958984375,43.160057067871094,43.160614013671875,67.96166229248047,67.22638702392578,67.75523376464844,0.8660253882408142,-0.5
30600,63.96418762207031,53.3043327331543,52.75680923461914,52.94860076904297,52.730125427246094,52.31562423706055,52.41628646850586,52.402252197265625,52.40242004394531,52.31562423706055,30.949480056762695,42.76271438598633,30.630643844604492,30.892765045166016,30.953454971313477,31.036426544189453,42.937286376953125,42.77539825439453,42.758018493652344,67.9686508178711,67.54930114746094,67.06022644042969,0.7933533191680908,-0.6087614297866821
32400,64.45311737060547,53.3837890625,52.30900955200195,52.8681640625,52.85557556152344,51.90728759765625,52.195289611816406,52.02909469604492,52.18537139892578,52.181922912597656,30.856266021728516,43.206974029541016,30.44363021850586,30.528648376464844,30.67980194091797,30.616256713867188,42.95730972290039,42.9781494140625,42.98344421386719,68.09857940673828,67.25529479980469,67.7112045288086,0.7071067690849304,-0.7071067690849304
34200,62.927371978759766,52.802696228027344,52.05092239379883,52.47674560546875,52.65230941772461,51.744728088378906,51.95246124267578,51.71864700317383,51.794219970703125,51.861785888671875,30.526756286621094,42.56792068481445,30.27432632446289,30.46392250061035,30.62278175354004,30.527442932128906,42.488468170166016,42.481170654296875,42.47930908203125,67.9078140258789,67.29792022705078,66.93339538574219,0.6087614297866821,-0.7933533191680908
36000,66.35525512695312,53.82819747924805,52.744293212890625,53.147457122802734,52.22714614868164,51.991172790527344,52.138126373291016,52.43623352050781,52.438777923583984,51.99778747558594,30.66060447692871,42.809120178222656,30.135656356811523,30.1353702545166,30.13100242614746,30.468486785888672,42.94551086425781,42.80913543701172,42.79154968261719,67.44503021240234,66.59715270996094,67.21668243408203,0.5,-0.8660253882408142
37800,65.88533020019531,53.689422607421875,52.394004821777344,52.94017791748047,52.76498794555664,51.56739044189453,51.96751403808594,51.62939453125,51.7652473449707,51.77752685546875,30.478893280029297,42.522216796875,30.083911895751953,30.3883113861084,30.631338119506836,30.556684494018555,42.353702545166016,42.34714126586914,42.345428466796875,68.00566101074219,67.33786010742188,66.89411163330078,0.3826834261417389,-0.9238795042037964
39600,64.91559600830078,53.57197570800781,52.490169525146484,52.99269104003906,52.68135070800781,52.07862091064453,52.141700744628906,52.432708740234375,52.43246078491211,52.09790802001953,30.677387237548828,42.722713470458984,30.105510711669922,30.097043991088867,30.080307006835938,30.389345169067383,42.92283630371094,42.73760986328125,42.71775436401367,67.91824340820312,66.53071594238281,67.11289978027344,0.258819043636322,-0.9659258127212524
41400,65.95147705078125,53.867652893066406,52.67018127441406,53.15168762207031,52.872840881347656,51.908485412597656,52.168880462646484,52.039512634277344,52.08830642700195,52.00654983520508,30.670536041259766,42.60525131225586,30.308269500732422,30.554237365722656,30.70236587524414,30.72212791442871,42.607791900634766,42.54768753051758,42.534427642822266,68.11262512207031,67.32701110839844,66.9561767578125,0.13052618503570557,-0.9914448857307434
43200,63.303382873535156,53.179115295410156,52.302101135253906,52.850440979003906,52.91374969482422,52.204254150390625,52.23766326904297,52.40395736694336,52.40546417236328,52.25838851928711,30.83266830444336,42.949161529541016,30.375028610229492,30.36590003967285,30.362051010131836,30.51403045654297,43.04225540161133,42.95029067993164,42.93988037109375,68.15821075439453,66.84983825683594,67.34365844726562,-3.2162452459154583e-16,-1.0
