Time,pressure_20,pressure_30,pressure_110,pressure_70,pressure_60,pressure_90,pressure_100,pressure_40,pressure_50,pressure_80,pressure_150,pressure_140,pressure_170,pressure_130,pressure_160,pressure_120,pressure_55,pressure_75,pressure_115,tank_volume_65,tank_volume_165,tank_volume_265
0,64.35102081298828,52.969085693359375,52.571388244628906,52.596187591552734,51.73124694824219,51.85099792480469,51.97378921508789,52.206268310546875,52.198760986328125,51.76890182495117,30.474712371826172,42.55690383911133,30.346908569335938,30.375768661499023,30.37073516845703,30.648731231689453,42.766231536865234,42.58464431762695,42.558197021484375,66.93000030517578,66.93000030517578,66.93000030517578
1800,61.193450927734375,52.12935256958008,51.96956253051758,52.04471969604492,52.44160079956055,51.983455657958984,51.98351287841797,52.00438690185547,52.00542449951172,52.03547668457031,30.63836097717285,42.771202087402344,30.579435348510742,30.607051849365234,30.61997413635254,30.61567497253418,42.802547454833984,42.7733154296875,42.770206451416016,67.71492004394531,67.19855499267578,67.14325714111328
3600,63.880130767822266,52.94868087768555,53.68513870239258,52.70691680908203,51.83061981201172,52.200862884521484,52.25175476074219,52.427734375,52.495731353759766,52.092472076416016,30.76544761657715,42.95611572265625,30.686655044555664,30.707557678222656,30.655136108398438,31.17629051208496,43.11049270629883,42.956546783447266,42.93141555786133,67.01544189453125,67.10073852539062,67.36676025390625
5400,60.37395095825195,51.238059997558594,51.25209045410156,51.244163513183594,51.31963348388672,51.184871673583984,51.286197662353516,51.09637451171875,51.19112014770508,51.28824234008789,30.027082443237305,42.484622955322266,30.14097023010254,30.171348571777344,30.381317138671875,30.015974044799805,42.09779739379883,42.2808837890625,42.321041107177734,66.57035827636719,67.12371063232422,66.89993286132812
7200,59.229400634765625,49.79474639892578,49.65971374511719,49.71889114379883,49.69816589355469,49.59077453613281,49.61408996582031,49.61345672607422,49.61796188354492,49.601707458496094,28.26397705078125,40.44325637817383,28.2265625,28.240055084228516,28.250404357910156,28.25632667541504,40.44255828857422,40.43729782104492,40.43612289428711,66.52999877929688,66.53002166748047,66.52999877929688
9000,72.45767211914062,55.750362396240234,54.48365020751953,54.50629425048828,51.44428634643555,52.00688171386719,52.38090133666992,53.288055419921875,53.241676330566406,51.644859313964844,30.446447372436523,42.19646453857422,29.978940963745117,30.070220947265625,30.03141975402832,31.09389877319336,43.05475997924805,42.33356475830078,42.2182731628418,66.52999877929688,66.53002166748047,66.52999877929688
10800,58.76182174682617,51.11179733276367,50.754852294921875,51.120323181152344,52.76091766357422,51.37899398803711,51.377559661865234,51.134456634521484,51.18561553955078,51.70891571044922,30.255630493164062,42.615787506103516,30.267471313476562,30.2645320892334,30.442502975463867,29.862306594848633,42.18368911743164,42.436851501464844,42.48978042602539,68.1302490234375,67.14310455322266,67.01667785644531
12600,61.82411575317383,52.010318756103516,51.651031494140625,51.82295608520508,51.781494140625,51.51801300048828,51.55435562133789,51.60171127319336,51.60545349121094,51.53805160522461,30.18450927734375,42.34517288208008,30.057437896728516,30.064218521118164,30.06926918029785,30.117847442626953,42.36994171142578,42.34220886230469,42.337223052978516,67.02149200439453,66.63085174560547,66.73138427734375
14400,62.26973342895508,52.149112701416016,51.826385498046875,51.936744689941406,51.785484313964844,51.55657958984375,51.636268615722656,51.58332061767578,51.59211730957031,51.56771469116211,30.23192596435547,42.28508758544922,30.093120574951172,30.223840713500977,30.276763916015625,30.288599014282227,42.31623840332031,42.27885818481445,42.27185821533203,67.02454376220703,66.8782958984375,66.64148712158203
16200,61.5167121887207,51.964847564697266,51.55556869506836,51.816810607910156,51.88204574584961,51.53014373779297,51.58246994018555,51.61463165283203,51.64625549316406,51.60650634765625,30.25081443786621,42.537818908691406,29.996091842651367,29.99357032775879,30.0012149810791,30.026206970214844,42.481658935546875,42.48587417602539,42.4869499206543,67.12661743164062,66.54141235351562,66.99284362792969
