Time,tank_volume_65,tank_volume_165,tank_volume_265,sin_daytime,cos_daytime
0,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
1800,67.70820617675781,67.19415283203125,67.13468933105469,0.13052618503570557,0.9914448857307434
3600,66.94847869873047,66.80320739746094,67.22509002685547,0.258819043636322,0.9659258127212524
5400,66.56201171875,66.8695068359375,66.5423583984375,0.3826834261417389,0.9238795042037964
7200,66.90152740478516,66.67782592773438,66.62479400634766,0.5,0.8660253882408142
9000,67.06413269042969,66.53089904785156,66.7412109375,0.6087614297866821,0.7933533191680908
10800,66.52999877929688,66.52999877929688,66.52999877929688,0.7071067690849304,0.7071067690849304
12600,66.91044616699219,66.57964324951172,66.55679321289062,0.7933533191680908,0.6087614297866821
14400,67.14640808105469,66.67792510986328,66.76012420654297,0.8660253882408142,0.5
16200,66.70716094970703,66.53012084960938,66.52999877929688,0.9238795042037964,0.3826834261417389
18000,66.83929443359375,66.60195922851562,66.60484313964844,0.9659258127212524,0.258819043636322
19800,66.88015747070312,66.53003692626953,66.52999877929688,0.9914448857307434,0.13052618503570557
21600,67.03679656982422,66.53003692626953,66.52999877929688,1.0,-1.6081226229577292e-16
23400,67.35945892333984,66.55679321289062,66.5632095336914,0.9914448857307434,-0.13052618503570557
25200,67.92649841308594,67.05183410644531,67.0047378540039,0.9659258127212524,-0.258819043636322
27000,68.10539245605469,67.18940734863281,67.31343841552734,0.9238795042037964,-0.3826834261417389
28800,68.0068130493164,67.68479919433594,67.475341796875,0.8660253882408142,-0.5
30600,67.12019348144531,66.6527099609375,67.01528930664062,0.7933533191680908,-0.6087614297866821
32400,66.90235137939453,66.52999877929688,66.52999877929688,0.7071067690849304,-0.7071067690849304
34200,67.46206665039062,66.63533020019531,66.62425231933594,0.6087614297866821,-0.7933533191680908
36000,67.5195083618164,66.53001403808594,66.52999877929688,0.5,-0.8660253882408142
37800,68.05162048339844,66.98291015625,66.95764923095703,0.3826834261417389,-0.9238795042037964
39600,68.5815658569336,67.46197509765625,67.4688949584961,0.258819043636322,-0.9659258127212524
41400,67.3777084350586,66.79525756835938,66.93003845214844,0.13052618503570557,-0.9914448857307434
43200,66.54767608642578,66.52999877929688,66.53010559082031,-3.2162452459154583e-16,-1.0
45000,66.61882019042969,66.52999877929688,66.53010559082031,-0.13052618503570557,-0.9914448857307434
46800,67.65524291992188,66.90704345703125,66.83280944824219,-0.258819043636322,-0.9659258127212524
48600,66.83168029785156,66.53010559082031,66.53008270263672,-0.3826834261417389,-0.9238795042037964
50400,67.45515441894531,66.7059555053711,66.68781280517578,-0.5,-0.8660253882408142
52200,67.99812316894531,67.01541137695312,67.03836059570312,-0.6087614297866821,-0.7933533191680908
54000,66.52999877929688,66.52999877929688,66.52999877929688,-0.7071067690849304,-0.7071067690849304
55800,66.52999877929688,66.52999877929688,66.52999877929688,-0.7933533191680908,-0.6087614297866821
57600,66.52999877929688,66.52999877929688,66.52999877929688,-0.8660253882408142,-0.5
59400,66.54036712646484,66.52999877929688,66.52999877929688,-0.9238795042037964,-0.3826834261417389
61200,67.28484344482422,66.58967590332031,66.54256439208984,-0.9659258127212524,-0.258819043636322
63000,68.08824920654297,67.06494140625,67.07015228271484,-0.9914448857307434,-0.13052618503570557
64800,68.35396575927734,67.33543395996094,67.29682159423828,-1.0,-1.8369701465288538e-16
66600,68.09222412109375,67.66561889648438,67.74007415771484,-0.9914448857307434,0.13052618503570557
68400,67.42786407470703,67.39888000488281,67.33695983886719,-0.9659258127212524,0.258819043636322
70200,67.3555908203125,67.00870513916016,67.26334381103516,-0.9238795042037964,0.3826834261417389
72000,67.48986053466797,67.26043701171875,66.82620239257812,-0.8660253882408142,0.5
73800,67.20453643798828,66.54961395263672,66.92254638671875,-0.7933533191680908,0.6087614297866821
75600,67.09024810791016,66.58891296386719,66.59493255615234,-0.7071067690849304,0.7071067690849304
77400,66.52999877929688,66.52999877929688,66.53012084960938,-0.6087614297866821,0.7933533191680908
79200,66.52999877929688,66.52999877929688,66.53012084960938,-0.5,0.8660253882408142
81000,67.19583892822266,66.750244140625,66.69944763183594,-0.3826834261417389,0.9238795042037964
82800,67.37909698486328,66.77605438232422,66.93321228027344,-0.258819043636322,0.9659258127212524
84600,67.46277618408203,67.08019256591797,66.80669403076172,-0.13052618503570557,0.9914448857307434
86400,66.93000030517578,66.93000030517578,66.93000030517578,0.0,1.0
